identifier	batch
SRR1335377	GTEx_polyA
SRR1335400	GTEx_polyA
SRR1335446	GTEx_polyA
SRR1335651	GTEx_polyA
SRR1335688	GTEx_polyA
SRR1335707	GTEx_polyA
SRR1335856	GTEx_polyA
SRR1336006	GTEx_polyA
SRR1336069	GTEx_polyA
SRR1336158	GTEx_polyA
SRR1336292	GTEx_polyA
SRR1336357	GTEx_polyA
SRR1336379	GTEx_polyA
SRR1336481	GTEx_polyA
SRR1336548	GTEx_polyA
SRR1336660	GTEx_polyA
SRR1336727	GTEx_polyA
SRR1336887	GTEx_polyA
SRR1337074	GTEx_polyA
SRR1337098	GTEx_polyA
SRR1337119	GTEx_polyA
SRR1337412	GTEx_polyA
SRR1337431	GTEx_polyA
SRR1337564	GTEx_polyA
SRR1337648	GTEx_polyA
SRR1337864	GTEx_polyA
SRR1337909	GTEx_polyA
SRR1338219	GTEx_polyA
SRR1338301	GTEx_polyA
SRR1338323	GTEx_polyA
SRR1338584	GTEx_polyA
SRR1338627	GTEx_polyA
SRR1345478	GTEx_polyA
SRR1346670	GTEx_polyA
SRR1346813	GTEx_polyA
SRR1347688	GTEx_polyA
SRR1348021	GTEx_polyA
SRR1348159	GTEx_polyA
SRR1348339	GTEx_polyA
SRR1348360	GTEx_polyA
SRR1348424	GTEx_polyA
SRR1348446	GTEx_polyA
SRR1348770	GTEx_polyA
SRR1348861	GTEx_polyA
SRR1349013	GTEx_polyA
SRR1349056	GTEx_polyA
SRR1349829	GTEx_polyA
SRR1350107	GTEx_polyA
SRR1350220	GTEx_polyA
SRR1350525	GTEx_polyA
SRR1351325	GTEx_polyA
SRR1351880	GTEx_polyA
SRR1352129	GTEx_polyA
SRR1352415	GTEx_polyA
SRR1352554	GTEx_polyA
SRR1352706	GTEx_polyA
SRR1352954	GTEx_polyA
SRR1352975	GTEx_polyA
SRR1353157	GTEx_polyA
SRR1353176	GTEx_polyA
SRR1353221	GTEx_polyA
SRR1353285	GTEx_polyA
SRR1354013	GTEx_polyA
SRR1354446	GTEx_polyA
SRR1354577	GTEx_polyA
SRR1354689	GTEx_polyA
SRR1354734	GTEx_polyA
SRR1354910	GTEx_polyA
SRR1355040	GTEx_polyA
SRR1355061	GTEx_polyA
